"Player","Team","Pos","08/16","09/07"
"Christian McCaffrey","CAR","RB",1,1
"Saquon Barkley","NYG","RB",2,2
"Ezekiel Elliott","DAL","RB",3,3
"Alvin Kamara","NO","RB",4,4
"Derrick Henry","TEN","RB",5,5
"Clyde Edwards-Helaire","KC","RB",8,6
"Michael Thomas","NO","WR",6,7
"Davante Adams","GB","WR",9,8
"Dalvin Cook","MIN","RB",7,9
"Joe Mixon","CIN","RB",10,10
"Tyreek Hill","KC","WR",11,11
"Julio Jones","ATL","WR",12,12
"Nick Chubb","CLE","RB",13,13
"George Kittle","SF","TE",17,14
"Kenyan Drake","ARI","RB",14,15
"Austin Ekeler","LAC","RB",20,16
"Josh Jacobs","LV","RB",19,17
"Travis Kelce","KC","TE",18,18
"Miles Sanders","PHI","RB",15,19
"Aaron Jones","GB","RB",21,20
"DeAndre Hopkins","ARI","WR",16,21
"Allen Robinson II","CHI","WR",22,22
"James Conner","PIT","RB",29,23
"Chris Godwin","TB","WR",23,24
"Patrick Mahomes","KC","QB",26,25
"Adam Thielen","MIN","WR",27,26
"Kenny Golladay","DET","WR",24,27
"Chris Carson","SEA","RB",31,28
"Lamar Jackson","BAL","QB",35,29
"Melvin Gordon III","DEN","RB",30,30
"Jonathan Taylor","IND","RB",37,31
"Mike Evans","TB","WR",28,32
"DJ Moore","CAR","WR",33,33
"A.J. Brown","TEN","WR",32,34
"Odell Beckham Jr.","CLE","WR",25,35
"Mark Ingram II","BAL","RB",41,36
"Todd Gurley II","ATL","RB",36,37
"JuJu Smith-Schuster","PIT","WR",34,38
"Mark Andrews","BAL","TE",43,39
"Terry McLaurin","WAS","WR",42,40
"Raheem Mostert","SF","RB",46,41
"Cooper Kupp","LAR","WR",39,42
"Amari Cooper","DAL","WR",38,43
"Zach Ertz","PHI","TE",52,44
"David Johnson","HOU","RB",51,45
"Tyler Lockett","SEA","WR",44,46
"Le'Veon Bell","NYJ","RB",50,47
"Cam Akers","LAR","RB",62,48
"D'Andre Swift","DET","RB",47,49
"Calvin Ridley","ATL","WR",40,50
"DJ Chark Jr.","JAX","WR",55,51
"Kareem Hunt","CLE","RB",64,52
"Dak Prescott","DAL","QB",59,53
"Russell Wilson","SEA","QB",60,54
"Tyler Higbee","LAR","TE",63,55
"Courtland Sutton","DEN","WR",49,56
"DK Metcalf","SEA","WR",54,57
"Ronald Jones II","TB","RB",76,58
"Keenan Allen","LAC","WR",56,59
"Kyler Murray","ARI","QB",61,60
"Robert Woods","LAR","WR",53,61
"Deshaun Watson","HOU","QB",65,62
"T.Y. Hilton","IND","WR",58,63
"Marquise Brown","BAL","WR",70,64
"Matt Ryan","ATL","QB",75,65
"DeVante Parker","MIA","WR",57,66
"Michael Gallup","DAL","WR",67,67
"Jordan Howard","MIA","RB",77,68
"Josh Allen","BUF","QB",73,69
"Stefon Diggs","BUF","WR",68,70
"Tyler Boyd","CIN","WR",71,71
"J.K. Dobbins","BAL","RB",87,72
"Jared Cook","NO","TE",72,73
"Carson Wentz","PHI","QB",88,74
"Zack Moss","BUF","RB",119,75
"Will Fuller V","HOU","WR",81,76
"Matt Breida","MIA","RB",74,77
"Drew Brees","NO","QB",78,78
"Matthew Stafford","DET","QB",83,79
"Jarvis Landry","CLE","WR",80,80
"Hunter Henry","LAC","TE",69,81
"A.J. Green","CIN","WR",79,82
"Devin Singletary","BUF","RB",66,83
"Diontae Johnson","PIT","WR",86,84
"Marvin Jones Jr.","DET","WR",90,85
"Darren Waller","LV","TE",84,86
"Julian Edelman","NE","WR",82,87
"David Montgomery","CHI","RB",48,88
"Jamison Crowder","NYJ","WR",104,89
"Ben Roethlisberger","PIT","QB",95,90
"Evan Engram","NYG","TE",93,91
"Tom Brady","TB","QB",91,92
"Hayden Hurst","ATL","TE",100,93
"James White","NE","RB",85,94
"Daniel Jones","NYG","QB",116,95
"Sterling Shepard","NYG","WR",105,96
"Jared Goff","LAR","QB",114,97
"Darius Slayton","NYG","WR",92,98
"Joe Burrow","CIN","QB",133,99
"John Brown","BUF","WR",103,100
"Antonio Gibson","WAS","RB",111,101
"Phillip Lindsay","DEN","RB",94,102
"Brandin Cooks","HOU","WR",96,103
"Mike Gesicki","MIA","TE",115,104
"Tevin Coleman","SF","RB",107,105
"Aaron Rodgers","GB","QB",98,106
"Baker Mayfield","CLE","QB",110,107
"Christian Kirk","ARI","WR",130,108
"Emmanuel Sanders","NO","WR",97,109
"Anthony Miller","CHI","WR",106,110
"Rob Gronkowski","TB","TE",112,111
"Cam Newton","NE","QB",128,112
"Latavius Murray","NO","RB",117,113
"Tarik Cohen","CHI","RB",101,114
"Ryan Tannehill","TEN","QB",120,115
"Deebo Samuel","SF","WR",135,116
"Blake Jarwin","DAL","TE",124,117
"San Francisco","SF","DEF",126,118
"T.J. Hockenson","DET","TE",132,119
"CeeDee Lamb","DAL","WR",134,120
"Chris Herndon","NYJ","TE",143,121
"Austin Hooper","CLE","TE",121,122
"Adrian Peterson","DET","RB",NA,123
"Golden Tate","NYG","WR",145,124
"Dallas Goedert","PHI","TE",146,125
"Mecole Hardman","KC","WR",142,126
"Mike Williams","LAC","WR",113,127
"Noah Fant","DEN","TE",127,128
"Jonnu Smith","TEN","TE",123,129
"Leonard Fournette","TB","RB",NA,130
"Marlon Mack","IND","RB",102,131
"Curtis Samuel","CAR","WR",148,132
"DeSean Jackson","PHI","WR",163,133
"Baltimore","BAL","DEF",141,134
"Chase Edmonds","ARI","RB",138,135
"Pittsburgh","PIT","DEF",140,136
"Damien Harris","NE","RB",174,137
"Jerry Jeudy","DEN","WR",144,138
"Preston Williams","MIA","WR",161,139
"Gardner Minshew II","JAX","QB",184,140
"Darrell Henderson Jr.","LAR","RB",99,141
"Kirk Cousins","MIN","QB",125,142
"Jimmy Garoppolo","SF","QB",136,143
"Chicago","CHI","DEF",155,144
"Kerryon Johnson","DET","RB",109,145
"Sam Darnold","NYJ","QB",150,146
"Duke Johnson","HOU","RB",118,147
"Buffalo","BUF","DEF",151,148
"Teddy Bridgewater","CAR","QB",171,149
"Justin Jefferson","MIN","WR",149,150
"Ryquell Armstead","JAX","RB",NA,151
"Justin Tucker","BAL","K",159,152
"Alexander Mattison","MIN","RB",108,153
"Minnesota","MIN","DEF",167,154
"New Orleans","NO","DEF",176,155
"Brandon Aiyuk","SF","WR",172,156
"Tony Pollard","DAL","RB",129,157
"Harrison Butker","KC","K",165,158
"Philip Rivers","IND","QB",153,159
"Henry Ruggs III","LV","WR",152,160
"Breshad Perriman","NYJ","WR",147,161
"Allen Lazard","GB","WR",NA,162
"Kansas City","KC","DEF",170,163
"Drew Lock","DEN","QB",162,164
"Wil Lutz","NO","K",177,165
"Ian Thomas","CAR","TE",160,166
"Parris Campbell","IND","WR",188,167
"Derek Carr","LV","QB",169,168
"Boston Scott","PHI","RB",137,169
"Jack Doyle","IND","TE",173,170
"Greg Zuerlein","DAL","K",181,171
"Irv Smith Jr.","MIN","TE",NA,172
"New England","NE","DEF",166,173
"Eric Ebron","PIT","TE",156,174
"Robby Anderson","CAR","WR",157,175
"Denver","DEN","DEF",195,176
"Jalen Reagor","PHI","WR",139,177
"Ke'Shawn Vaughn","TB","RB",131,178
"Laviska Shenault Jr.","JAX","WR",NA,179
"DeAndre Washington","KC","RB",194,180
"Los Angeles","LAR","DEF",179,181
"Sammy Watkins","KC","WR",199,182
"Greg Olsen","SEA","TE",187,183
"Michael Pittman Jr.","IND","WR",178,184
"Matt Prater","DET","K",NA,185
"Robbie Gould","SF","K",200,186
"Philadelphia","PHI","DEF",NA,187
"Tyrod Taylor","LAC","QB",NA,188
"Dallas","DAL","DEF",NA,189
"Darrel Williams","KC","RB",NA,190
"Los Angeles","LAC","DEF",196,191
"James Washington","PIT","WR",190,192
"Zane Gonzalez","ARI","K",NA,193
"Tennessee","TEN","DEF",NA,194
"Nyheim Hines","IND","RB",164,195
"Jake Elliott","PHI","K",NA,196
"Miles Boykin","BAL","WR",NA,197
"Justin Jackson","LAC","RB",158,198
"Sony Michel","NE","RB",89,199
"Matt Gay","TB","K",NA,200
"Seattle","SEA","DEF",NA,201
"Jace Sternberger","GB","TE",193,202
"Bryan Edwards","LV","WR",NA,203
"O.J. Howard","TB","TE",198,204
"Auden Tate","CIN","WR",NA,205
"Steven Sims Jr.","WAS","WR",NA,206
"Indianapolis","IND","DEF",NA,207
"Dan Bailey","MIN","K",NA,208
"Giovani Bernard","CIN","RB",NA,209
"New York","NYJ","DEF",NA,210
"Van Jefferson Jr.","LAR","WR",NA,211
"Ka'imi Fairbairn","HOU","K",NA,212
"Brian Hill","ATL","RB",NA,213
"Michael Badgley","LAC","K",NA,214
"Tyrell Williams","LV","WR",197,215
"Marquez Valdes-Scantling","GB","WR",NA,216
"Dwayne Haskins Jr.","WAS","QB",NA,217
"Tampa Bay","TB","DEF",NA,218
"Tyler Eifert","JAX","TE",NA,219
"Hunter Renfrow","LV","WR",189,220
"Brandon McManus","DEN","K",NA,221
"Jason Myers","SEA","K",NA,222
"Green Bay","GB","DEF",NA,223
"Bryce Love","WAS","RB",NA,224
"Cleveland","CLE","DEF",NA,225
"Mason Crosby","GB","K",NA,226
"N'Keal Harry","NE","WR",182,227
"Chris Thompson","JAX","RB",NA,228
"Dawson Knox","BUF","TE",NA,229
